ZCTA,Households100to149K,Households150to199K,Households200KorMore,RFM1,RFM2,RFM3
35007,2224,473,254,9,8,7
35124,2012,809,805,9,8,8
35173,2265,1037,980,9,9,9
35215,1896,434,264,9,8,7
35216,2065,940,1702,9,9,9
35226,3050,1956,1990,9,9,9
35242,4129,2607,4239,9,9,9
35244,2134,1635,1895,9,9,9
35405,2237,919,474,9,9,8
35603,2178,576,687,9,8,8
35749,2057,923,681,9,9,8
35758,3936,2682,2119,9,9,9
35763,1887,1098,1289,9,9,9
35803,2248,1259,814,9,9,8
35806,1876,902,829,9,9,9
35811,1990,749,554,9,8,8
36116,1889,562,555,9,8,8
36117,3503,1248,1365,9,9,9
36330,2426,815,460,9,9,8
36526,2279,1090,714,9,9,8
36532,2343,906,1354,9,9,9
36695,3534,1543,1008,9,9,9
36830,2039,1383,1086,9,9,9
99504,3684,1174,782,9,9,8
99507,3058,1562,1514,9,9,9
99508,2324,753,654,9,8,8
99515,2047,1188,1149,9,9,9
99577,2323,1737,1338,9,9,9
99654,3976,1841,1397,9,9,9
99705,1798,909,633,9,9,8
99709,2200,1306,1097,9,9,9
99801,2695,1325,1113,9,9,9
85008,1991,446,264,9,8,7
85016,2053,1042,1543,9,9,9
85018,2457,1249,2727,9,9,9
85020,2034,1048,1186,9,9,9
85022,3015,827,1524,9,9,9
85024,1852,947,802,9,9,8
85027,2288,853,256,9,9,7
85029,1874,470,275,9,8,7
85032,3796,1590,1016,9,9,9
85037,1855,455,238,9,8,7
85041,2287,492,661,9,8,8
85042,2018,841,620,9,9,8
85044,3094,1492,1936,9,9,9
85048,3114,1498,2441,9,9,9
85050,2607,1057,2029,9,9,9
85086,3947,1797,1943,9,9,9
85122,2212,763,349,9,8,8
85138,2374,852,475,9,9,8
85140,2671,1088,688,9,9,8
85142,5109,2552,2337,9,9,9
85143,2338,500,181,9,8,7
85202,1911,661,602,9,8,8
85203,1846,847,579,9,9,8
85204,2950,718,322,9,8,8
85205,2171,814,1105,9,9,9
85206,1861,717,416,9,8,8
85207,3158,1834,1693,9,9,9
85208,1805,308,346,9,7,8
85209,2555,794,850,9,8,9
85212,3032,1502,1074,9,9,9
85213,2175,1182,1157,9,9,9
85224,3677,1229,969,9,9,9
85225,3923,1461,1048,9,9,9
85226,2922,1647,1480,9,9,9
85233,3055,1458,1123,9,9,9
85234,3701,1301,1562,9,9,9
85248,2823,1439,2023,9,9,9
85249,2920,2095,2758,9,9,9
85251,3226,1440,1841,9,9,9
85254,3709,2130,2883,9,9,9
85255,3487,2383,5957,9,9,9
85257,2521,899,886,9,9,9
85258,2430,1156,2347,9,9,9
85260,3182,2056,2624,9,9,9
85268,2301,950,1714,9,9,9
85281,2301,657,655,9,8,8
85282,3159,1289,711,9,9,8
85283,3359,1579,785,9,9,8
85286,3311,2272,2189,9,9,9
85295,3913,1776,1499,9,9,9
85296,3449,1656,1691,9,9,9
85297,2633,1549,1156,9,9,9
85298,2427,1858,1643,9,9,9
85304,1951,442,245,9,8,7
85308,5207,1994,1753,9,9,9
85326,2617,676,418,9,8,8
85331,2363,1648,2411,9,9,9
85338,3600,1194,915,9,9,9
85339,2902,946,743,9,9,8
85340,2465,1370,1161,9,9,9
85345,2743,570,192,9,8,7
85353,1908,520,296,9,8,7
85364,2578,641,546,9,8,8
85365,2658,974,346,9,9,8
85374,2770,749,711,9,8,8
85375,2094,609,416,9,8,8
85379,3154,1147,700,9,9,8
85381,1881,646,719,9,8,8
85382,2884,1452,654,9,9,8
85383,4586,2631,2942,9,9,9
85388,2210,713,374,9,8,8
85392,2472,1020,567,9,9,8
85395,2464,1093,1015,9,9,9
85396,1879,646,440,9,8,8
85629,2030,745,323,9,8,8
85635,1955,563,525,9,8,8
85641,2262,804,976,9,8,9
85704,2332,843,994,9,9,9
85710,2055,807,326,9,8,8
85730,1836,392,344,9,8,8
85737,1829,982,1131,9,9,9
85739,1932,695,384,9,8,8
