ZIP_CODE,ZCTA,STATE,Status
35007,35007,AL,middle
35137,35007,AL,middle
35144,35007,AL,middle
35124,35124,AL,middle
35173,35173,AL,middle
35215,35215,AL,middle
35220,35215,AL,middle
35216,35216,AL,middle
35266,35216,AL,middle
35226,35226,AL,middle
35260,35226,AL,middle
35296,35226,AL,middle
35238,35242,AL,middle
35242,35242,AL,middle
35236,35244,AL,middle
35244,35244,AL,middle
35405,35405,AL,middle
35407,35405,AL,middle
35603,35603,AL,middle
35742,35749,AL,middle
35749,35749,AL,middle
35758,35758,AL,middle
35763,35763,AL,middle
35803,35803,AL,middle
35806,35806,AL,middle
35767,35811,AL,middle
35811,35811,AL,middle
36116,36116,AL,middle
36191,36116,AL,middle
36117,36117,AL,middle
36119,36117,AL,middle
36121,36117,AL,middle
36123,36117,AL,middle
36124,36117,AL,middle
36132,36117,AL,middle
36141,36117,AL,middle
36177,36117,AL,middle
36330,36330,AL,middle
36331,36330,AL,middle
36526,36526,AL,middle
36532,36532,AL,middle
36533,36532,AL,middle
36695,36695,AL,middle
36830,36830,AL,middle
36831,36830,AL,middle
99504,99504,AK,middle
99521,99504,AK,middle
99507,99507,AK,middle
99523,99507,AK,middle
99508,99508,AK,middle
99514,99508,AK,middle
99511,99515,AK,middle
99515,99515,AK,middle
99577,99577,AK,middle
99623,99654,AK,middle
99629,99654,AK,middle
99654,99654,AK,middle
99687,99654,AK,middle
99705,99705,AK,middle
99711,99705,AK,middle
99708,99709,AK,middle
99709,99709,AK,middle
99716,99709,AK,middle
99725,99709,AK,middle
99801,99801,AK,middle
99802,99801,AK,middle
99803,99801,AK,middle
99811,99801,AK,middle
99812,99801,AK,middle
99821,99801,AK,middle
99850,99801,AK,middle
85008,85008,AZ,middle
85010,85008,AZ,middle
85026,85008,AZ,middle
85038,85008,AZ,middle
85039,85008,AZ,middle
85062,85008,AZ,middle
85072,85008,AZ,middle
85073,85008,AZ,middle
85082,85008,AZ,middle
85016,85016,AZ,middle
85064,85016,AZ,middle
85018,85018,AZ,middle
85060,85018,AZ,middle
85020,85020,AZ,middle
85068,85020,AZ,middle
85022,85022,AZ,middle
85024,85024,AZ,middle
85027,85027,AZ,middle
85080,85027,AZ,middle
85029,85029,AZ,middle
85071,85029,AZ,middle
85032,85032,AZ,middle
85046,85032,AZ,middle
85078,85032,AZ,middle
85037,85037,AZ,middle
85041,85041,AZ,middle
85042,85042,AZ,middle
85066,85042,AZ,middle
85044,85044,AZ,middle
85076,85044,AZ,middle
85048,85048,AZ,middle
85070,85048,AZ,middle
85050,85050,AZ,middle
85086,85086,AZ,middle
85122,85122,AZ,middle
85130,85122,AZ,middle
85138,85138,AZ,middle
85140,85140,AZ,middle
85127,85142,AZ,middle
85142,85142,AZ,middle
85143,85143,AZ,middle
85202,85202,AZ,middle
85274,85202,AZ,middle
85203,85203,AZ,middle
85204,85204,AZ,middle
85205,85205,AZ,middle
85206,85206,AZ,middle
85207,85207,AZ,middle
85208,85208,AZ,middle
85216,85208,AZ,middle
85209,85209,AZ,middle
85212,85212,AZ,middle
85213,85213,AZ,middle
85214,85213,AZ,middle
85275,85213,AZ,middle
85224,85224,AZ,middle
85246,85224,AZ,middle
85225,85225,AZ,middle
85244,85225,AZ,middle
85226,85226,AZ,middle
85233,85233,AZ,middle
85234,85234,AZ,middle
85248,85248,AZ,middle
85249,85249,AZ,middle
85251,85251,AZ,middle
85254,85254,AZ,middle
85255,85255,AZ,middle
85252,85257,AZ,middle
85257,85257,AZ,middle
85271,85257,AZ,middle
85258,85258,AZ,middle
85261,85258,AZ,middle
85260,85260,AZ,middle
85267,85260,AZ,middle
85268,85268,AZ,middle
85269,85268,AZ,middle
85280,85281,AZ,middle
85281,85281,AZ,middle
85287,85281,AZ,middle
85282,85282,AZ,middle
85285,85282,AZ,middle
85283,85283,AZ,middle
85286,85286,AZ,middle
85295,85295,AZ,middle
85236,85296,AZ,middle
85296,85296,AZ,middle
85299,85296,AZ,middle
85297,85297,AZ,middle
85298,85298,AZ,middle
85304,85304,AZ,middle
85308,85308,AZ,middle
85318,85308,AZ,middle
85326,85326,AZ,middle
85327,85331,AZ,middle
85331,85331,AZ,middle
85338,85338,AZ,middle
85339,85339,AZ,middle
85340,85340,AZ,middle
85345,85345,AZ,middle
85380,85345,AZ,middle
85353,85353,AZ,middle
85364,85364,AZ,middle
